*,link,Symptoms,Overview,Causes,Risk factors,diagnosis,treatment,remedies,medication
Acanthosis nigricans,https://www.mayoclinic.org/diseases-conditions/acanthosis-nigricans/symptoms-causes/syc-20368983,"[""Skin changes are the only signs of acanthosis nigricans. You'll notice dark, thickened, velvety skin in body folds and creases — typically in your armpits, groin and back of the neck. The skin changes usually appear slowly. The affected skin may also have an odor or itch."", 'Consult your doctor if you notice changes in your skin — especially if the changes appear suddenly. You may have an underlying condition that needs treatment.', '', '', '']","['', 'Acanthosis nigricans is a skin condition that causes a dark discoloration in body folds and creases. It typically affects the armpits, groin and neck.', '', 'Acanthosis nigricans is a skin condition characterized by areas of dark, velvety discoloration in body folds and creases. The affected skin can become thickened. Most often, acanthosis nigricans affects your armpits, groin and neck.', 'The skin changes of acanthosis nigricans (ak-an-THOE-sis NIE-grih-kuns) typically occur in people who are obese or have diabetes. Children who develop the condition are at higher risk of developing type 2 diabetes. Rarely, acanthosis nigricans can be a warning sign of a cancerous tumor in an internal organ, such as the stomach or liver.', 'No specific treatment is available for acanthosis nigricans. Treatment of underlying conditions may restore some of the normal color and texture to affected areas of skin.', '', '', '', 'Book: Mayo Clinic Family Health Book, 5th Edition', 'Newsletter: Mayo Clinic Health Letter — Digital Edition']","['Acanthosis nigricans has been associated with:', '', '', '', 'Insulin resistance. Most people who have acanthosis nigricans have also become resistant to insulin. Insulin is a hormone secreted by the pancreas that allows your body to process sugar. Insulin resistance is what eventually causes type 2 diabetes.', 'Hormonal disorders. Acanthosis nigricans often occurs in people who have disorders such as ovarian cysts, underactive thyroids or problems with the adrenal glands.', 'Certain drugs and supplements. High-dose niacin, birth control pills, prednisone and other corticosteroids may cause acanthosis nigricans.', 'Cancer. Acanthosis nigricans also sometimes occurs with lymphoma or when a cancerous tumor begins growing in an internal organ, such as the stomach, colon or liver.']","['Acanthosis nigricans risk factors include:', '', '', '', 'Obesity. The heavier you are, the higher your risk of acanthosis nigricans.', 'Race. Studies show that in the United States, acanthosis nigricans is more common among Native Americans.', 'Family history. Some types of acanthosis nigricans appear to be hereditary.']","['Acanthosis nigricans is typically detected during a skin exam. Rarely, a small skin sample is removed (biopsied) for examination in a lab. If the cause of acanthosis nigricans is unclear, your doctor may recommend blood tests, X-rays or other tests to look for possible underlying causes.', 'X-ray']","['In many situations, treating the underlying problem can help fade the discoloration. Examples may include:', 'If you are concerned about the appearance of your skin or if the lesions become uncomfortable or start to smell bad, your doctor may suggest:', ""You're likely to start by seeing your family doctor. He or she may refer you to a doctor who specializes in skin disorders (dermatologist) or hormone problems (endocrinologist). Because appointments can be brief and there's often a lot of ground to cover, it's a good idea to be well-prepared for your appointment."", 'Losing weight. If your acanthosis nigricans is caused by obesity, losing weight may help.', 'Stopping medications or supplements. If your condition seems to be related to a medication or supplement that you use, your doctor may suggest that you stop using that substance.', 'Having surgery. If acanthosis nigricans was triggered by a cancerous tumor, surgically removing the tumor often clears up the skin discoloration.', 'Prescription creams to lighten or soften the affected areas', 'Antibacterial soaps, used gently, as scrubbing could worsen the condition', 'Topical antibiotic', 'Oral acne medications', ""Laser therapy to reduce the skin's thickness"", 'Losing weight.', 'Stopping medications or supplements.', 'Having surgery.']",NA,NA
Achalasia,https://www.mayoclinic.org/diseases-conditions/achalasia/symptoms-causes/syc-20352850,"['Achalasia symptoms generally appear gradually and worsen over time. Signs and symptoms may include:', 'Inability to swallow (dysphagia), which may feel like food or drink is stuck in your throat', 'Regurgitating food or saliva', 'Heartburn', 'Belching', 'Chest pain that comes and goes', 'Coughing at night', 'Pneumonia (from aspiration of food into the lungs)', 'Weight loss', 'Vomiting']","['Achalasia is a rare disorder that makes it difficult for food and liquid to pass from the swallowing tube connecting your mouth and stomach (esophagus) into your stomach.', 'Achalasia occurs when nerves in the esophagus become damaged. As a result, the esophagus becomes paralyzed and dilated over time and eventually loses the ability to squeeze food down into the stomach. Food then collects in the esophagus, sometimes fermenting and washing back up into the mouth, which can taste bitter. Some people mistake this for gastroesophageal reflux disease (GERD). However, in achalasia the food is coming from the esophagus, whereas in GERD the material comes from the stomach.', ""There's no cure for achalasia. Once the esophagus is paralyzed, the muscle cannot work properly again. But symptoms can usually be managed with endoscopy, minimally invasive therapy or surgery."", 'Book: Mayo Clinic Family Health Book, 5th Edition', 'Newsletter: Mayo Clinic Health Letter — Digital Edition']","['The exact cause of achalasia is poorly understood. Researchers suspect it may be caused by a loss of nerve cells in the esophagus. There are theories about what causes this, but viral infection or autoimmune responses have been suspected. Very rarely, achalasia may be caused by an inherited genetic disorder or infection.', '\n    Achalasia care at Mayo Clinic\n', 'Zaninotto G, et al. The 2018 ISDE achalasia guidelines. Diseases of the Esophagus. 2018; doi:10.1093/dote/doy071.', 'Achalasia. National Organization for Rare Disorders. https://rarediseases.org/rare-diseases/achalasia/. Accessed April 6, 2020.', 'Achalasia. Canadian Society of Intestinal Research. https://badgut.org/information-centre/a-z-digestive-topics/achalasia/. Accessed April 6, 2020.', 'Swanstrom LL. Achalasia: Treatment, current status and future advances. Korean Journal of Internal Medicine. 2019; doi:10.3904/kjim.2018.439.', 'Jung HK, et al. 2019 Seoul consensus on esophageal achalasia guidelines. Neurogastroenterology and Motility. 2020; doi:10.5056/jnm20014.', 'Achalasia. Merck Manual Professional Version. https://www.merckmanuals.com/professional/gastrointestinal-disorders/esophageal-and-swallowing-disorders/achalasia. Accessed April 6, 2020.', 'Ahmed Y, et al. Peroral endoscopic myotomy (POEM) for achalasia. Journal of Thoracic Disease. 2019; doi:10.21037/jtd.2019.07.84.', 'Brown AY. Allscripts EPSi. Mayo Clinic. March 12, 2020.', 'Blackmon SH (expert opinion). Mayo Clinic. April 8, 2020']",,"['Achalasia can be overlooked or misdiagnosed because it has symptoms similar to other digestive disorders. To test for achalasia, your doctor is likely to recommend:', 'Read more about esophageal manometry  and upper endoscopy.', 'Esophageal manometry. This test measures the rhythmic muscle contractions in your esophagus when you swallow, the coordination and force exerted by the esophagus muscles, and how well your lower esophageal sphincter relaxes or opens during a swallow. This test is the most helpful when determining which type of motility problem you might have.', 'X-rays of your upper digestive system (esophagram). X-rays are taken after you drink a chalky liquid that coats and fills the inside lining of your digestive tract. The coating allows your doctor to see a silhouette of your esophagus, stomach and upper intestine. You may also be asked to swallow a barium pill that can help to show a blockage of the esophagus.', ""Upper endoscopy. Your doctor inserts a thin, flexible tube equipped with a light and camera (endoscope) down your throat, to examine the inside of your esophagus and stomach. Endoscopy can be used to define a partial blockage of the esophagus if your symptoms or results of a barium study indicate that possibility. Endoscopy can also be used to collect a sample of tissue (biopsy) to be tested for complications of reflux such as Barrett's esophagus."", 'Esophageal manometry.', 'X-rays of your upper digestive system (esophagram).', 'Upper endoscopy.']","['Achalasia treatment focuses on relaxing or stretching open the lower esophageal sphincter so that food and liquid can move more easily through your digestive tract.', 'Specific treatment depends on your age, health condition and the severity of the achalasia.']",NA,NA
Achilles tendon rupture,https://www.mayoclinic.org/diseases-conditions/achilles-tendon-rupture/symptoms-causes/syc-20353234,"[""Although it's possible to have no signs or symptoms with an Achilles tendon rupture, most people have:"", ""Seek medical advice immediately if you hear a pop in your heel, especially if you can't walk properly afterward."", '', '', '', '', '', 'The feeling of having been kicked in the calf', 'Pain, possibly severe, and swelling near the heel', 'An inability to bend the foot downward or ""push off"" the injured leg when walking', 'An inability to stand on the toes on the injured leg', 'A popping or snapping sound when the injury occurs']","['', 'The Achilles tendon is a strong fibrous cord that connects the muscles in the back of your calf to your heel bone. If you overstretch your Achilles tendon, it can tear (rupture).', '', 'Achilles (uh-KILL-eez) tendon rupture is an injury that affects the back of your lower leg. It mainly occurs in people playing recreational sports, but it can happen to anyone.', 'The Achilles tendon is a strong fibrous cord that connects the muscles in the back of your calf to your heel bone. If you overstretch your Achilles tendon, it can tear (rupture) completely or just partially.', 'If your Achilles tendon ruptures, you might hear a pop, followed by an immediate sharp pain in the back of your ankle and lower leg that is likely to affect your ability to walk properly. Surgery is often performed to repair the rupture. For many people, however, nonsurgical treatment works just as well.', '', '', '', '', '', 'Book: Mayo Clinic Family Health Book, 5th Edition', 'Mayo Clinic Sports Medicine', 'Newsletter: Mayo Clinic Health Letter — Digital Edition']","['Your Achilles tendon helps you point your foot downward, rise on your toes and push off your foot as you walk. You rely on it virtually every time you walk and move your foot.', 'Rupture usually occurs in the section of the tendon situated within 2 1/2 inches (about 6 centimeters) of the point where it attaches to the heel bone. This section might be prone to rupture because blood flow is poor, which also can impair its ability to heal.', 'Ruptures often are caused by a sudden increase in the stress on your Achilles tendon. Common examples include:', '', '', '', '', '', 'Increasing the intensity of sports participation, especially in sports that involve jumping', 'Falling from a height', 'Stepping into a hole']","['Factors that may increase your risk of Achilles tendon rupture include:', '', '', '', '', '', 'Age. The peak age for Achilles tendon rupture is 30 to 40.', 'Sex. Achilles tendon rupture is up to five times more likely to occur in men than in women.', 'Recreational sports. Achilles tendon injuries occur more often during sports that involve running, jumping, and sudden starts and stops — such as soccer, basketball and tennis.', 'Steroid injections. Doctors sometimes inject steroids into an ankle joint to reduce pain and inflammation. However, this medication can weaken nearby tendons and has been associated with Achilles tendon ruptures.', 'Certain antibiotics. Fluoroquinolone antibiotics, such as ciprofloxacin (Cipro) or levofloxacin (Levaquin), increase the risk of Achilles tendon rupture.', 'Obesity. Excess weight puts more strain on the tendon.']","['During the physical exam, your doctor will inspect your lower leg for tenderness and swelling. Your doctor might be able to feel a gap in your tendon if it has ruptured completely.', ""The doctor might ask you to kneel on a chair or lie on your stomach with your feet hanging over the end of the exam table. He or she might then squeeze your calf muscle to see if your foot will automatically flex. If it doesn't, you probably have ruptured your Achilles tendon."", ""If there's a question about the extent of your Achilles tendon injury — whether it's completely or only partially ruptured — your doctor might order an ultrasound or MRI scan. These painless procedures create images of the tissues of your body."", 'MRI']","['Treatment for a ruptured Achilles tendon often depends on your age, activity level and the severity of your injury. In general, younger and more active people, particularly athletes, tend to choose surgery to repair a completely ruptured Achilles tendon, while older people are more likely to opt for nonsurgical treatment.', 'Recent studies, however, have shown fairly equal effectiveness of both surgical and nonsurgical management.']",NA,NA
Acute coronary syndrome,https://www.mayoclinic.org/diseases-conditions/acute-coronary-syndrome/symptoms-causes/syc-20352136,"['The signs and symptoms of acute coronary syndrome usually begin abruptly. They include:', ""Chest pain or discomfort is the most common symptom. However, signs and symptoms may vary significantly depending on your age, sex and other medical conditions. You're more likely to have signs and symptoms without chest pain or discomfort if you're a woman, older adult or have diabetes."", 'Acute coronary syndrome is a medical emergency. Chest pain or discomfort can be a sign of any number of serious, life-threatening conditions. Get emergency help for a prompt diagnosis and appropriate care. Do not drive yourself to the hospital.', 'Chest pain (angina) or discomfort, often described as aching, pressure, tightness or burning', 'Pain spreading from the chest to the shoulders, arms, upper abdomen, back, neck or jaw', 'Nausea or vomiting', 'Indigestion', 'Shortness of breath (dyspnea)', 'Sudden, heavy sweating (diaphoresis)', 'Lightheadedness, dizziness or fainting', 'Unusual or unexplained fatigue', 'Feeling restless or apprehensive']","['Acute coronary syndrome is a term used to describe a range of conditions associated with sudden, reduced blood flow to the heart.', 'One such condition is a heart attack (myocardial infarction) — when cell death results in damaged or destroyed heart tissue. Even when acute coronary syndrome causes no cell death, the reduced blood flow changes how your heart works and is a sign of a high risk of heart attack.', 'Acute coronary syndrome often causes severe chest pain or discomfort. It is a medical emergency that requires prompt diagnosis and care. The goals of treatment include improving blood flow, treating complications and preventing future problems.', 'Book: Mayo Clinic Healthy Heart for Life!']","['Acute coronary syndrome usually results from the buildup of fatty deposits (plaques) in and on the walls of coronary arteries, the blood vessels delivering oxygen and nutrients to heart muscles.', 'When a plaque deposit ruptures or splits, a blood clot forms. This clot blocks the flow of blood to heart muscles.', 'When the supply of oxygen to cells is too low, cells of the heart muscles can die. The death of cells — resulting in damage to muscle tissues — is a heart attack (myocardial infarction).', ""Even when there is no cell death, the decrease in oxygen still results in heart muscles that don't work the way they should. This change may be temporary or permanent. When acute coronary syndrome doesn't result in cell death, it is called unstable angina.""]","['The risk factors for acute coronary syndrome are the same as those for other types of heart disease. Acute coronary syndrome risk factors include:', 'Aging', 'High blood pressure', 'High blood cholesterol', 'Cigarette smoking', 'Lack of physical activity', 'Unhealthy diet', 'Obesity or overweight', 'Diabetes', 'Family history of chest pain, heart disease or stroke', 'History of high blood pressure, preeclampsia or diabetes during pregnancy', 'COVID-19 infection']","['If you have signs or symptoms associated with acute coronary syndrome, an emergency room doctor will likely order several tests. Some tests may be done while your doctor is asking you questions about your symptoms or medical history. Tests include:', 'The information from these two tests — as well as your signs and symptoms — is used to make a primary diagnosis of acute coronary syndrome. Your doctor can use the information to determine whether your condition can be classified as a heart attack or unstable angina.', 'Other tests may be done to learn more about your condition, rule out other causes of symptoms, or to help your doctor personalize your diagnosis and treatment.', 'Electrocardiogram (ECG). Electrodes attached to your skin measure the electrical activity in your heart. Abnormal or irregular impulses can mean your heart is not working properly due to a lack of oxygen to the heart. Certain patterns in electrical signals may show the general location of a blockage. The test may be repeated several times.', 'Blood tests. Certain enzymes may be detected in the blood if cell death has resulted in damage to heart tissue. A positive result indicates a heart attack.', ""Coronary angiogram. This procedure uses X-ray imaging to see your heart's blood vessels. A long, tiny tube (catheter) is threaded through an artery, usually in your arm or groin, to the arteries in your heart. A dye flows through the tube into your arteries. A series of X-rays show how the dye moves through your arteries, revealing any blockages or narrowing. The catheter may also be used for treatments."", 'Echocardiogram. An echocardiogram uses sound waves, directed at your heart from a wand-like device, to produce a live image of your heart. An echocardiogram can help determine whether the heart is pumping correctly.', ""Myocardial perfusion imaging. This test shows how well blood flows through your heart muscle. A tiny, safe amount of radioactive substance is injected into your blood. A specialized camera takes images of the substance's path through your heart. They show your doctor whether enough blood is flowing through heart muscles and where blood flow is reduced."", 'Computerized tomography (CT) angiogram. A CT angiogram uses a specialized X-ray technology that can produce multiple images — cross-sectional 2-D slices — of your heart. These images can detect narrowed or blocked coronary arteries.', 'Stress test. A stress test reveals how well your heart works when you exercise. In some cases, you may receive a medication to increase your heart rate rather than exercising. This test is done only when there are no signs of acute coronary syndrome or another life-threatening heart condition when you are at rest. During the stress test, an ECG, echocardiogram or myocardial perfusion imaging may be used to see how well your heart works.', 'Coronary angiogram', 'CT scan', 'Echocardiogram', 'Electrocardiogram (ECG or EKG)', 'X-ray', 'Electrocardiogram (ECG).', 'Blood tests.', 'Coronary angiogram.', 'Echocardiogram.', 'Myocardial perfusion imaging.', 'Computerized tomography (CT) angiogram.', 'Stress test.']","['The immediate goals of treatment for acute coronary syndrome are:', 'Long-term treatment goals are to improve overall heart function, manage risk factors and lower the risk of a heart attack. A combination of drugs and surgical procedures may be used to meet these goals.', 'Relieve pain and distress', 'Improve blood flow', 'Restore heart function as quickly and as best as possible']","['Heart healthy lifestyle changes are an important part of heart attack prevention. Recommendations include the following:', ""Don't smoke. If you smoke, quit. Talk to your doctor if you need help quitting. Also, avoid secondhand smoke."", 'Eat a heart-healthy diet. Eat a diet with lots of fruits and vegetables, whole grains, and moderate amounts of low-fat dairy and lean meats.', 'Be active. Get regular exercise and stay physically active. If you have not been exercising regularly, talk to your doctor about the best exercise to begin a healthy and safe routine.', ""Check your cholesterol. Have your blood cholesterol levels checked regularly at your doctor's office. Avoid high-fat, high-cholesterol meat and dairy. If your doctor has prescribed a statin or other cholesterol-lowering medication, take it daily as directed by your doctor."", 'Control your blood pressure. Have your blood pressure checked regularly as recommended by your doctor. Take blood pressure medicine daily as recommended.', 'Maintain a healthy weight. Excess weight strains your heart and can contribute to high cholesterol, high blood pressure, diabetes, heart disease and other conditions.', 'Manage stress. To reduce your risk of a heart attack, reduce stress in your day-to-day activities. Rethink work habits and find healthy ways to minimize or deal with stressful events in your life. Talk to your doctor or a mental health care professional if you need help managing stress.', 'Drink alcohol in moderation. If you drink alcohol, do so in moderation. Drinking more than one to two alcoholic drinks a day can raise blood pressure.', 'Getting active after acute coronary syndrome', ""Don't smoke."", 'Eat a heart-healthy diet.', 'Be active.', 'Check your cholesterol.', 'Control your blood pressure.', 'Maintain a healthy weight.', 'Manage stress.', 'Drink alcohol in moderation.']","['Depending on your diagnosis, medications for emergency or ongoing care (or both) may include the following:', 'Your doctor may recommend one of these procedures to restore blood flow to your heart muscles:', ""Thrombolytics (clot busters) help dissolve a blood clot that's blocking an artery."", 'Nitroglycerin improves blood flow by temporarily widening blood vessels.', 'Antiplatelet drugs help prevent blood clots from forming and include aspirin, clopidogrel (Plavix), prasugrel (Effient) and others.', 'Beta blockers help relax your heart muscle and slow your heart rate. They decrease the demand on your heart and lower blood pressure. Examples include metoprolol (Lopressor, Toprol-XL) and nadolol (Corgard).', 'Angiotensin-converting enzyme (ACE) inhibitors widen blood vessels and improve blood flow, allowing the heart to work better. They include lisinopril (Prinivil, Zestril), benazepril (Lotensin) and others.', 'Angiotensin receptor blockers (ARBs) help control blood pressure and include irbesartan (Avapro), losartan (Cozaar) and several others.', 'Statins lower the amount of cholesterol moving in the blood and may stabilize plaque deposits, making them less likely to rupture. Statins include atorvastatin (Lipitor), simvastatin (Zocor, Flolipid) and several others.', 'Angioplasty and stenting. In this procedure, your doctor inserts a long, tiny tube (catheter) into the blocked or narrowed part of your artery. A wire with a deflated balloon is passed through the catheter to the narrowed area. The balloon is then inflated, opening the artery by compressing the plaque deposits against your artery walls. A mesh tube (stent) is usually left in the artery to help keep the artery open.', 'Coronary bypass surgery. With this procedure, a surgeon takes a piece of blood vessel (graft) from another part of your body and creates a new route for blood that goes around (bypasses) a blocked coronary artery.', 'Thrombolytics', 'Nitroglycerin', 'Antiplatelet drugs', 'Beta blockers', 'Angiotensin-converting enzyme (ACE) inhibitors', 'Angiotensin receptor blockers (ARBs)', 'Statins', 'Angioplasty and stenting.', 'Coronary bypass surgery.']"
Adenomyosis,https://www.mayoclinic.org/diseases-conditions/adenomyosis/symptoms-causes/syc-20369138,"['Sometimes, adenomyosis causes no signs or symptoms or only mild discomfort. However, adenomyosis can cause:', 'Your uterus might get bigger. Although you might not know if your uterus is bigger, you may notice tenderness or pressure in your lower abdomen.', 'If you have prolonged, heavy bleeding or severe cramping during your periods that interferes with your regular activities, make an appointment to see your doctor.', '', '', '', 'Heavy or prolonged menstrual bleeding', 'Severe cramping or sharp, knifelike pelvic pain during menstruation (dysmenorrhea)', 'Chronic pelvic pain', 'Painful intercourse (dyspareunia)']","['', 'With adenomyosis, the same tissue that lines the uterus (endometrial tissue) is present within and grows into the muscular walls of your uterus.', '', 'Adenomyosis (ad-uh-no-my-O-sis) occurs when the tissue that normally lines the uterus (endometrial tissue) grows into the muscular wall of the uterus. The displaced tissue continues to act normally — thickening, breaking down and bleeding — during each menstrual cycle. An enlarged uterus and painful, heavy periods can result.', ""Doctors aren't sure what causes adenomyosis, but the disease usually resolves after menopause. For women who have severe discomfort from adenomyosis, hormonal treatments can help. Removal of the uterus (hysterectomy) cures adenomyosis"", '', '', '', 'Book: Mayo Clinic Family Health Book, 5th Edition', 'Newsletter: Mayo Clinic Health Letter — Digital Edition']","[""The cause of adenomyosis isn't known. There have been many theories, including:"", ""Regardless of how adenomyosis develops, its growth depends on the body's circulating estrogen."", '', '', '', 'Invasive tissue growth. Some experts believe that endometrial cells from the lining of the uterus invade the muscle that forms the uterine walls. Uterine incisions made during an operation such as a cesarean section (C-section) might promote the direct invasion of the endometrial cells into the wall of the uterus.', 'Developmental origins. Other experts suspect that endometrial tissue is deposited in the uterine muscle when the uterus is first formed in the fetus.', 'Uterine inflammation related to childbirth. Another theory suggests a link between adenomyosis and childbirth. Inflammation of the uterine lining during the postpartum period might cause a break in the normal boundary of cells that line the uterus.', 'Stem cell origins. A recent theory proposes that bone marrow stem cells might invade the uterine muscle, causing adenomyosis.']","['Risk factors for adenomyosis include:', 'Most cases of adenomyosis — which depends on estrogen — are found in women in their 40s and 50s. Adenomyosis in these women could relate to longer exposure to estrogen compared with that of younger women. However, current research suggests that the condition might also be common in younger women.', '', '', '', 'Prior uterine surgery, such as C-section, fibroid removal, or dilatation and curettage (D&C)', 'Childbirth', 'Middle age']","['Some other uterine conditions can cause signs and symptoms similar to those of adenomyosis, making adenomyosis difficult to diagnose. These conditions include fibroid tumors (leiomyomas), uterine cells growing outside the uterus (endometriosis) and growths in the uterine lining (endometrial polyps).', 'Your doctor might conclude that you have adenomyosis only after ruling out other possible causes for your signs and symptoms.', 'Your doctor may suspect adenomyosis based on:', ""In some instances, your doctor might collect a sample of uterine tissue for testing (endometrial biopsy) to make sure you don't have a more serious condition. But an endometrial biopsy won't help your doctor confirm a diagnosis of adenomyosis."", 'Pelvic imaging such as ultrasound and MRI can detect signs of adenomyosis, but the only way to confirm it is to examine the uterus after hysterectomy.', 'Signs and symptoms', 'A pelvic exam that reveals an enlarged, tender uterus', 'Ultrasound imaging of the uterus', 'Magnetic resonance imaging (MRI) of the uterus', 'MRI', 'Pelvic exam', 'Ultrasound']","['Adenomyosis often goes away after menopause, so treatment might depend on how close you are to that stage of life.', 'Treatment options for adenomyosis include:', ' To ease pelvic pain and cramping related to adenomyosis, try these tips:', 'Your first appointment will be with either your primary care provider or your gynecologist.', 'Anti-inflammatory drugs. Your doctor might recommend anti-inflammatory medications, such as ibuprofen (Advil, Motrin IB, others), to control the pain. By starting an anti-inflammatory medicine one to two days before your period begins and taking it during your period, you can reduce menstrual blood flow and help relieve pain.', 'Hormone medications. Combined estrogen-progestin birth control pills or hormone-containing patches or vaginal rings might lessen heavy bleeding and pain associated with adenomyosis. Progestin-only contraception, such as an intrauterine device, or continuous-use birth control pills often cause amenorrhea — the absence of your menstrual periods — which might provide some relief.', ""Hysterectomy. If your pain is severe and no other treatments have worked, your doctor might suggest surgery to remove your uterus. Removing your ovaries isn't necessary to control adenomyosis."", 'Soak in a warm bath.', 'Use a heating pad on your abdomen.', 'Take an over-the-counter anti-inflammatory medication, such as ibuprofen (Advil, Motrin IB, others). ', 'Anti-inflammatory drugs.', 'Hormone medications.', 'Hysterectomy.']","[' To ease pelvic pain and cramping related to adenomyosis, try these tips:', 'Soak in a warm bath.', 'Use a heating pad on your abdomen.', 'Take an over-the-counter anti-inflammatory medication, such as ibuprofen (Advil, Motrin IB, others). ']",NA
